iter	Logloss
0	0.5823641986
1	0.5018913156
2	0.4396659267
3	0.3973940745
4	0.3706511172
5	0.344895969
6	0.328913885
7	0.3105306608
8	0.3001943041
9	0.2887669732
10	0.2805409319
11	0.2749824873
12	0.2679843747
13	0.2584030163
14	0.2510148348
15	0.2457790115
16	0.2413935933
17	0.2382978994
18	0.2357525708
19	0.2331235287
20	0.2308175311
21	0.2275903055
22	0.2256611394
23	0.2238510929
24	0.2212756047
25	0.2196561514
26	0.2175961754
27	0.215763031
28	0.2140989748
29	0.2130854461
30	0.2110128983
31	0.2096005975
32	0.2084847967
33	0.2062983757
34	0.2039439855
35	0.2029206627
36	0.2017417779
37	0.1999552842
38	0.1989501108
39	0.1967924156
40	0.1963802463
41	0.1953636199
42	0.1942529944
43	0.1934921894
44	0.1928529604
45	0.1921973768
46	0.1915038487
47	0.1903938404
48	0.1897202808
49	0.1893328153
50	0.1886612686
51	0.1880981702
52	0.1875568406
53	0.1871468077
54	0.1861097023
55	0.1853512856
56	0.1843236329
57	0.1833307678
58	0.1829268508
59	0.1825123039
60	0.1820588462
61	0.1813698293
62	0.1808847385
63	0.1804512076
64	0.1799094082
65	0.179434555
66	0.1786376247
67	0.1780506603
68	0.1775163666
69	0.1770172914
70	0.1766748884
71	0.1761273004
72	0.1752292332
73	0.1749169042
74	0.1746280427
75	0.1743112086
76	0.1738297006
77	0.1735678957
78	0.1731230668
79	0.1725571875
80	0.1719791697
81	0.1716676236
82	0.1712448777
83	0.1707472468
84	0.1704568473
85	0.1701331914
86	0.1699741956
87	0.1696798238
88	0.1694620194
89	0.1691248772
90	0.1688595829
91	0.1685824724
92	0.1682799139
93	0.1680984489
94	0.1674480786
95	0.1667893538
96	0.1665386519
97	0.1661464974
98	0.1658973802
99	0.1655585662
100	0.16532985
101	0.165105613
102	0.1647546186
103	0.1645787279
104	0.1643087334
105	0.1641667623
106	0.1639475187
107	0.1637313978
108	0.1635415275
109	0.1632317929
110	0.1629201421
111	0.1627545723
112	0.1624488296
113	0.162207031
114	0.1619663898
115	0.1617748022
116	0.1614680999
117	0.1613132412
118	0.1610977508
119	0.1608973301
120	0.1607057262
121	0.1605490572
122	0.1602279838
123	0.1600646969
124	0.159876098
125	0.1597113863
126	0.1595913393
127	0.1593161583
128	0.1590783365
129	0.1589437286
130	0.1588488793
131	0.1586785417
132	0.158510174
133	0.1582513409
134	0.1580675737
135	0.1579790602
136	0.1578259264
137	0.1575811131
138	0.1573786143
139	0.1572619121
140	0.1570769917
141	0.1569490064
142	0.1567690772
143	0.1566679445
144	0.1565997315
145	0.1563803687
146	0.1562476789
147	0.1560934769
148	0.1558871469
149	0.1557640283
150	0.1556262154
151	0.1554558051
152	0.1553108879
153	0.1551768311
154	0.1550008105
155	0.154897102
156	0.1547815918
157	0.1545627462
158	0.1544220239
159	0.154309186
160	0.1541917217
161	0.1540803341
162	0.1539446631
163	0.1537451714
164	0.1535214743
165	0.1533791497
166	0.1532550354
167	0.1530585219
168	0.1529325173
169	0.1526901243
170	0.1525708119
171	0.1524781725
172	0.152356613
173	0.1522352035
174	0.1521310498
175	0.1520358084
176	0.1518855212
177	0.1517621994
178	0.1516765092
179	0.1515422866
180	0.151434707
181	0.1513522857
182	0.1512664507
183	0.1511324125
184	0.150986931
185	0.1508653621
186	0.1507496389
187	0.1506776361
188	0.1505773813
189	0.1504530466
190	0.1503804737
191	0.1502871167
192	0.1501412116
193	0.1500356729
194	0.1498880164
195	0.1498173094
196	0.1496779604
197	0.1496053068
198	0.1494298326
199	0.1493496879
200	0.1492325608
201	0.1491559776
202	0.1490646412
203	0.1490197376
204	0.1489452727
205	0.1488351061
206	0.148738947
207	0.1486437959
208	0.1485517644
209	0.1484213031
210	0.1483432735
211	0.148194954
212	0.1481260473
213	0.1480072753
214	0.1479436829
215	0.1478892765
216	0.1478078144
217	0.1477324336
218	0.1476600989
219	0.1475297703
220	0.1473980768
221	0.1473110333
222	0.1472599206
223	0.1472095941
224	0.1471613693
225	0.1470694857
226	0.1470105974
227	0.1469310259
228	0.1468032347
229	0.1467387518
230	0.146636869
231	0.1465902841
232	0.1464806168
233	0.1464248979
234	0.1463556168
235	0.1463058019
236	0.1462196014
237	0.1461540284
238	0.1460515431
239	0.1459807614
240	0.145897902
241	0.1457910475
242	0.1457066913
243	0.1456405307
244	0.1455771131
245	0.1455255137
246	0.1454825227
247	0.1454131777
248	0.1453180077
249	0.1452485911
250	0.1451786028
251	0.1451422834
252	0.1450204404
253	0.1449366106
254	0.1448728799
255	0.1447842059
256	0.1447338262
257	0.1446782941
258	0.1446088379
259	0.1445573672
260	0.1444773144
261	0.1443974187
262	0.1443583094
263	0.1443134238
264	0.1442387115
265	0.144180696
266	0.1441186363
267	0.1440670062
268	0.1440100098
269	0.1438956188
270	0.1438533704
271	0.1437681612
272	0.1437126831
273	0.1436218699
274	0.1435734293
275	0.1435076565
276	0.1434444522
277	0.1433926548
278	0.1433303902
279	0.1432751441
280	0.1431811651
281	0.1431138159
282	0.1430664763
283	0.1429867571
284	0.1429466644
285	0.1428937707
286	0.1428439275
287	0.1427825252
288	0.1427451375
289	0.1426663671
290	0.1426060754
291	0.1425495493
292	0.1424705864
293	0.1424202935
294	0.1423379418
295	0.1423022907
296	0.1422471709
297	0.1421852413
298	0.142103692
299	0.1420655914
300	0.1420138352
301	0.1419572278
302	0.1419294471
303	0.1418875706
304	0.1418170827
305	0.1417657751
306	0.1417165683
307	0.1416501035
308	0.1416211751
309	0.1415700365
310	0.1415334383
311	0.1414880974
312	0.1414308967
313	0.1413849767
314	0.141331382
315	0.1412756352
316	0.1412385808
317	0.1411958051
318	0.1411199944
319	0.1410696736
320	0.1410389314
321	0.1409924845
322	0.1409189885
323	0.1408675704
324	0.1408397992
325	0.1407717258
326	0.1407299284
327	0.1407021043
328	0.1406298729
329	0.1405864223
330	0.1405402271
331	0.1405064916
332	0.1404591591
333	0.1404030582
334	0.1403550461
335	0.140312552
336	0.1402758809
337	0.140233545
338	0.1402011074
339	0.1401587479
340	0.1401216995
341	0.1400880671
342	0.1400307874
343	0.1399674071
344	0.1399419704
345	0.1398877835
346	0.1398193837
347	0.1397774142
348	0.1397239383
349	0.1396549624
350	0.1396258781
351	0.1395905477
352	0.1395638226
353	0.1395353661
354	0.1394847317
355	0.1394522668
356	0.1394011514
357	0.1393360284
