iter	Passed	Remaining
0	51	74151
1	101	73663
2	152	73575
3	199	72105
4	242	70350
5	287	69443
6	332	68600
7	381	68983
8	424	68136
9	473	68339
10	518	68013
11	562	67565
12	611	67695
13	657	67562
14	704	67508
15	755	67867
16	803	67868
17	851	67901
18	894	67539
19	939	67290
20	986	67269
21	1036	67393
22	1078	67039
23	1121	66761
24	1166	66609
25	1213	66602
26	1271	67149
27	1329	67650
28	1388	68158
29	1433	67999
30	1485	68151
31	1537	68274
32	1585	68233
33	1637	68321
34	1687	68387
35	1731	68152
36	1779	68095
37	1827	68052
38	1872	67896
39	1923	67944
40	1964	67651
41	2008	67492
42	2056	67445
43	2108	67512
44	2152	67346
45	2195	67155
46	2244	67143
47	2290	67049
48	2335	66912
49	2377	66709
50	2421	66570
51	2465	66434
52	2511	66352
53	2556	66227
54	2602	66151
55	2651	66146
56	2697	66059
57	2746	66057
58	2791	65954
59	2837	65869
60	2884	65822
61	2934	65827
62	2981	65772
63	3026	65687
64	3074	65657
65	3120	65578
66	3170	65592
67	3217	65533
68	3262	65433
69	3310	65398
70	3355	65310
71	3400	65221
72	3443	65090
73	3488	65001
74	3534	64940
75	3576	64805
76	3626	64804
77	3672	64732
78	3718	64678
79	3764	64606
80	3811	64555
81	3857	64503
82	3905	64472
83	3954	64451
84	3999	64362
85	4048	64348
86	4095	64296
87	4138	64201
88	4184	64126
89	4232	64105
90	4284	64121
91	4333	64113
92	4383	64100
93	4427	64010
94	4472	63935
95	4520	63900
96	4568	63870
97	4616	63835
98	4668	63846
99	4713	63780
100	4758	63691
101	4803	63626
102	4853	63616
103	4901	63583
104	4947	63515
105	4990	63411
106	5036	63355
107	5086	63348
108	5135	63321
109	5187	63334
110	5234	63286
111	5280	63223
112	5328	63184
113	5379	63183
114	5426	63140
115	5471	63065
116	5519	63020
117	5564	62958
118	5607	62860
119	5657	62846
120	5707	62824
121	5754	62775
122	5798	62701
123	5842	62616
124	5889	62572
125	5929	62451
126	5972	62357
127	6021	62331
128	6070	62304
129	6114	62229
130	6156	62127
131	6204	62089
132	6250	62039
133	6296	61977
134	6338	61879
135	6383	61815
136	6428	61752
137	6473	61685
138	6524	61676
139	6570	61622
140	6618	61589
141	6666	61544
142	6715	61518
143	6756	61421
144	6799	61335
145	6845	61276
146	6892	61235
147	6942	61218
148	6986	61145
149	7037	61130
150	7081	61059
151	7131	61039
152	7179	61000
153	7225	60951
154	7274	60915
155	7319	60854
156	7364	60791
157	7409	60729
158	7454	60667
159	7496	60583
160	7541	60522
161	7587	60468
162	7633	60416
163	7686	60417
164	7735	60382
165	7782	60340
166	7826	60271
167	7875	60238
168	7924	60206
169	7965	60116
170	8011	60065
171	8054	59990
172	8105	59969
173	8152	59928
174	8197	59862
175	8240	59790
176	8288	59751
177	8332	59684
178	8377	59624
179	8423	59573
180	8474	59558
181	8518	59489
182	8562	59420
183	8612	59394
184	8661	59363
185	8703	59287
186	8750	59238
187	8792	59163
188	8844	59148
189	8897	59147
190	8944	59096
191	8989	59039
192	9039	59015
193	9086	58970
194	9130	58904
195	9171	58817
196	9222	58797
197	9268	58748
198	9315	58699
199	9360	58641
200	9410	58616
201	9455	58557
202	9499	58497
203	9542	58424
204	9591	58389
205	9635	58329
206	9686	58306
207	9731	58250
208	9778	58205
209	9825	58156
210	9871	58104
211	9925	58102
212	9971	58051
213	10022	58029
214	10068	57973
215	10113	57916
216	10159	57869
217	10205	57817
218	10252	57769
219	10293	57691
220	10342	57657
221	10390	57616
222	10430	57530
223	10478	57491
224	10522	57429
225	10570	57391
226	10618	57347
227	10666	57307
228	10711	57251
229	10757	57201
230	10803	57152
231	10848	57095
232	10901	57080
233	10953	57059
234	11002	57027
235	11045	56960
236	11095	56929
237	11140	56872
238	11184	56809
239	11232	56772
240	11282	56741
241	11329	56692
242	11375	56642
243	11425	56611
244	11472	56565
245	11517	56509
246	11561	56448
247	11606	56393
248	11657	56367
249	11701	56306
250	11747	56258
251	11789	56188
252	11836	56140
253	11883	56095
254	11929	56047
255	11982	56025
256	12028	55976
257	12074	55927
258	12126	55902
259	12173	55856
260	12218	55802
261	12267	55765
262	12310	55700
263	12356	55650
264	12405	55614
265	12449	55556
266	12496	55510
267	12540	55451
268	12586	55399
269	12639	55377
270	12682	55315
271	12722	55242
272	12769	55193
273	12819	55159
274	12867	55119
275	12916	55082
276	12960	55023
277	13003	54962
278	13050	54914
