,Model,Method,Scaler,True Paid,False Default,False Paid,True Default,Accuracy,AUC Score,MCC,F1 Score
0,Logistic Regression,Grid Search,Standard,109094,112757,5275,41728,0.5609810529134772,0.8210549627477958,0.2915600807633472,0.414198364170571
1,Logistic Regression,Grid Search,Robust,198938,22913,26904,20099,0.8147061230258802,0.7582424485653568,0.3360341345561953,0.4465700161084264
2,Logistic Regression,Bayesian Optimization,Standard,109094,112757,5275,41728,0.5609810529134772,0.8210549593913389,0.2915600807633472,0.414198364170571
3,Logistic Regression,Bayesian Optimization,Robust,199094,22757,26965,20038,0.8150594746591087,0.7580226395728477,0.3361059515021983,0.4462905632642153
4,Random Forest,Grid Search,Standard,216271,5580,11127,35876,0.9378584659331832,0.96523931028093,0.7763052183674407,0.8111328412032693
5,Random Forest,Grid Search,Robust,216265,5586,11105,35898,0.9379179777872004,0.9652190691675522,0.776554667224084,0.8113734220846
6,Random Forest,Bayesian Optimization,Standard,216271,5580,11127,35876,0.9378584659331832,0.96523931028093,0.7763052183674407,0.8111328412032693
7,Random Forest,Bayesian Optimization,Robust,216265,5586,11105,35898,0.9379179777872004,0.9652190691675522,0.776554667224084,0.8113734220846
8,XGBoost,Grid Search,Standard,216095,5756,7856,39147,0.949370290194678,0.9791774105273928,0.8216896937293268,0.8518921506756905
9,XGBoost,Grid Search,Robust,216097,5754,7855,39148,0.9493814486673064,0.9791773773464184,0.8217278540829649,0.8519231815461618
10,XGBoost,Bayesian Optimization,Standard,216095,5756,7856,39147,0.949370290194678,0.9791774105273928,0.8216896937293268,0.8518921506756905
11,XGBoost,Bayesian Optimization,Robust,216097,5754,7855,39148,0.9493814486673064,0.9791773773464184,0.8217278540829649,0.8519231815461618
12,CatBoost,Grid Search,Standard,216104,5747,7933,39070,0.9491173648151041,0.9787827226019747,0.8206916936738459,0.8510128512306686
13,CatBoost,Grid Search,Robust,216121,5730,7969,39034,0.9490466944884585,0.9787282433265752,0.8203775082163081,0.8507197576470844
14,CatBoost,Bayesian Optimization,Standard,216024,5827,7596,39407,0.950073273970259,0.9795121284454552,0.8245748908677762,0.8544727170224531
15,CatBoost,Bayesian Optimization,Robust,216120,5731,7578,39425,0.9504972959301331,0.9797103532143805,0.8259716004461466,0.8555865406525678
